timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733320668453,80,Login [Post] HTTP Request,200,,Thread Group 1-20,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,80,0,0
1733320668473,84,Register [Post] HTTP Request,200,,Thread Group 1-21,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,84,0,1
1733320668558,78,Login [Post] HTTP Request,200,,Thread Group 1-21,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,78,0,0
1733320668567,83,Register [Post] HTTP Request,200,,Thread Group 1-22,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,83,0,1
1733320668650,77,Login [Post] HTTP Request,200,,Thread Group 1-22,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,77,0,0
1733320668669,79,Register [Post] HTTP Request,200,,Thread Group 1-23,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,79,0,1
1733320668748,80,Login [Post] HTTP Request,200,,Thread Group 1-23,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,80,0,0
1733320668770,78,Register [Post] HTTP Request,200,,Thread Group 1-24,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,78,0,1
1733320668849,76,Login [Post] HTTP Request,200,,Thread Group 1-24,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,76,0,0
1733320668884,78,Register [Post] HTTP Request,200,,Thread Group 1-25,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,78,0,1
1733320668963,74,Login [Post] HTTP Request,200,,Thread Group 1-25,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,74,0,0
1733320668978,79,Register [Post] HTTP Request,200,,Thread Group 1-26,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,79,0,1
1733320669057,75,Login [Post] HTTP Request,200,,Thread Group 1-26,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,75,0,0
1733320669079,81,Register [Post] HTTP Request,200,,Thread Group 1-27,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,81,0,2
1733320669160,80,Login [Post] HTTP Request,200,,Thread Group 1-27,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,80,0,0
1733320669174,82,Register [Post] HTTP Request,200,,Thread Group 1-28,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,82,0,1
1733320669256,79,Login [Post] HTTP Request,200,,Thread Group 1-28,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,79,0,0
1733320669278,85,Register [Post] HTTP Request,200,,Thread Group 1-29,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,85,0,2
1733320669363,81,Login [Post] HTTP Request,200,,Thread Group 1-29,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,81,0,0
1733320669380,81,Register [Post] HTTP Request,200,,Thread Group 1-30,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,81,0,1
1733320669462,81,Login [Post] HTTP Request,200,,Thread Group 1-30,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,81,0,0
1733320669479,86,Register [Post] HTTP Request,200,,Thread Group 1-31,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,86,0,1
1733320669565,74,Login [Post] HTTP Request,200,,Thread Group 1-31,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,74,0,0
1733320669577,83,Register [Post] HTTP Request,200,,Thread Group 1-32,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,83,0,1
1733320669661,77,Login [Post] HTTP Request,200,,Thread Group 1-32,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,77,0,0
1733320669689,153,Register [Post] HTTP Request,200,,Thread Group 1-33,text,true,,364,233,2,2,http://localhost:8080/api/auth/register,153,0,1
1733320669778,74,Register [Post] HTTP Request,200,,Thread Group 1-34,text,true,,364,233,2,2,http://localhost:8080/api/auth/register,74,0,1
1733320669844,76,Login [Post] HTTP Request,200,,Thread Group 1-33,text,true,,465,230,3,3,http://localhost:8080/api/auth/login,76,0,0
1733320669854,75,Login [Post] HTTP Request,200,,Thread Group 1-34,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,74,0,0
1733320669879,77,Register [Post] HTTP Request,200,,Thread Group 1-35,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,77,0,1
1733320669957,75,Login [Post] HTTP Request,200,,Thread Group 1-35,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,75,0,0
1733320669980,76,Register [Post] HTTP Request,200,,Thread Group 1-36,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,76,0,1
1733320670056,72,Login [Post] HTTP Request,200,,Thread Group 1-36,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,72,0,0
1733320670088,81,Register [Post] HTTP Request,200,,Thread Group 1-37,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,81,0,3
1733320670170,78,Login [Post] HTTP Request,200,,Thread Group 1-37,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,78,0,0
1733320670179,81,Register [Post] HTTP Request,200,,Thread Group 1-38,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,81,0,1
1733320670260,81,Login [Post] HTTP Request,200,,Thread Group 1-38,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,81,0,0
1733320670277,82,Register [Post] HTTP Request,200,,Thread Group 1-39,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,82,0,1
1733320670360,79,Login [Post] HTTP Request,200,,Thread Group 1-39,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,78,0,0
1733320670378,82,Register [Post] HTTP Request,200,,Thread Group 1-40,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,82,0,1
1733320670461,76,Login [Post] HTTP Request,200,,Thread Group 1-40,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,76,0,0
